Country,University Name,University URL,Number of Teams
MEX,Instituto Tecnológico Autónomo de México,https://www.cphof.org/university/Instituto%20Tecnol%C3%B3gico%20Aut%C3%B3nomo%20de%20M%C3%A9xico,5
MEX,Universidad Autónoma de Nuevo Leon,https://www.cphof.org/university/Universidad%20Aut%C3%B3noma%20de%20Nuevo%20Leon,3
MEX,ITESM Campus Puebla,https://www.cphof.org/university/ITESM%20Campus%20Puebla,1
MEX,Escuela Superior De Computo Instituto Politecnico Nacional,https://www.cphof.org/university/Escuela%20Superior%20De%20Computo%20Instituto%20Politecnico%20Nacional,8
MEX,Universidad de Guadalajara CUCEI,https://www.cphof.org/university/Universidad%20de%20Guadalajara%20CUCEI,4
MEX,Instituto Tecnológico de Culiacán,https://www.cphof.org/university/Instituto%20Tecnol%C3%B3gico%20de%20Culiac%C3%A1n,2
MEX,ITESM Campus Guadalajara,https://www.cphof.org/university/ITESM%20Campus%20Guadalajara,1
MEX,The University of Texas at Austin,https://www.cphof.org/university/The%20University%20of%20Texas%20at%20Austin,0
MEX,Universidad de Guanajuato - DCNE,https://www.cphof.org/university/Universidad%20de%20Guanajuato%20-%20DCNE,8
MEX,ITESM Campus Queretaro,https://www.cphof.org/university/ITESM%20Campus%20Queretaro,2
MEX,ITESM Campus Monterrey,https://www.cphof.org/university/ITESM%20Campus%20Monterrey,9
MEX,Universidad Autónoma de Tlaxcala,https://www.cphof.org/university/Universidad%20Aut%C3%B3noma%20de%20Tlaxcala,1
MEX,Benemérita Universidad Autónoma de Puebla,https://www.cphof.org/university/Benem%C3%A9rita%20Universidad%20Aut%C3%B3noma%20de%20Puebla,2
CUB,Universidad de Pinar del Río,https://www.cphof.org/university/Universidad%20de%20Pinar%20del%20R%C3%ADo,2
CUB,Universidad de las Ciencias Informáticas,https://www.cphof.org/university/Universidad%20de%20las%20Ciencias%20Inform%C3%A1ticas,4
CUB,Universidad de Oriente - Sede Antonio Maceo,https://www.cphof.org/university/Universidad%20de%20Oriente%20-%20Sede%20Antonio%20Maceo,6
CUB,Universidad de La Habana,https://www.cphof.org/university/Universidad%20de%20La%20Habana,12
CUB,"Universidad Central ""Marta Abreu"" de Las Villas",https://www.cphof.org/university/Universidad%20Central%20%22Marta%20Abreu%22%20de%20Las%20Villas,2
VEN,Universidad Central de Venezuela,https://www.cphof.org/university/Universidad%20Central%20de%20Venezuela,3
VEN,Universidad Centro Occidental Lisandro Alvarado,https://www.cphof.org/university/Universidad%20Centro%20Occidental%20Lisandro%20Alvarado,2
VEN,Universidad Simón Bolívar,https://www.cphof.org/university/Universidad%20Sim%C3%B3n%20Bol%C3%ADvar,10
COL,EAFIT University,https://www.cphof.org/university/EAFIT%20University,5
COL,"Universidad de los Andes, Colombia","https://www.cphof.org/university/Universidad%20de%20los%20Andes,%20Colombia",6
COL,Universidad del Valle,https://www.cphof.org/university/Universidad%20del%20Valle,1
COL,Universidad Tecnologica de Pereira,https://www.cphof.org/university/Universidad%20Tecnologica%20de%20Pereira,3
COL,Universidad Nacional de Colombia - Bogotá,https://www.cphof.org/university/Universidad%20Nacional%20de%20Colombia%20-%20Bogot%C3%A1,12
COL,Universidad Icesi,https://www.cphof.org/university/Universidad%20Icesi,1
COL,Universidad Nacional de Colombia,https://www.cphof.org/university/Universidad%20Nacional%20de%20Colombia,12
CHL,Pontificia Universidad Católica de Chile,https://www.cphof.org/university/Pontificia%20Universidad%20Cat%C3%B3lica%20de%20Chile,2
CHL,Universidad de Chile,https://www.cphof.org/university/Universidad%20de%20Chile,7
PER,Universidad Nacional de Ingeniería - FIIS,https://www.cphof.org/university/Universidad%20Nacional%20de%20Ingenier%C3%ADa%20-%20FIIS,2
PER,Universidad Nacional de Ingeniería - FC,https://www.cphof.org/university/Universidad%20Nacional%20de%20Ingenier%C3%ADa%20-%20FC,3
PER,Universidad Nacional de Ingeniería,https://www.cphof.org/university/Universidad%20Nacional%20de%20Ingenier%C3%ADa,1
PER,Universidad Nacional de Ingenieria - FC,https://www.cphof.org/university/Universidad%20Nacional%20de%20Ingenieria%20-%20FC,3
PER,Pontificia Universidad Católica del Perú - FCI,https://www.cphof.org/university/Pontificia%20Universidad%20Cat%C3%B3lica%20del%20Per%C3%BA%20-%20FCI,5
PER,Universidad Católica San Pablo,https://www.cphof.org/university/Universidad%20Cat%C3%B3lica%20San%20Pablo,2
PER,Universidade de São Paulo - Campus de São Carlos,https://www.cphof.org/university/Universidade%20de%20S%C3%A3o%20Paulo%20-%20Campus%20de%20S%C3%A3o%20Carlos,0
BOL,Universidad Mayor de San Simón,https://www.cphof.org/university/Universidad%20Mayor%20de%20San%20Sim%C3%B3n,3
BOL,Universidad Privada de Santa Cruz de la Sierra,https://www.cphof.org/university/Universidad%20Privada%20de%20Santa%20Cruz%20de%20la%20Sierra,1
BOL,Universidad Católica Boliviana - La Paz,https://www.cphof.org/university/Universidad%20Cat%C3%B3lica%20Boliviana%20-%20La%20Paz,1
DOM,Pontificia Universidad Católica Madre y Maestra - Campus Santo Domingo,https://www.cphof.org/university/Pontificia%20Universidad%20Cat%C3%B3lica%20Madre%20y%20Maestra%20-%20Campus%20Santo%20Domingo,1
DOM,Instituto Tecnológico de Santo Domingo,https://www.cphof.org/university/Instituto%20Tecnol%C3%B3gico%20de%20Santo%20Domingo,2
CRI,Universidad de Costa Rica,https://www.cphof.org/university/Universidad%20de%20Costa%20Rica,4
CRI,Instituto Tecnológico de Costa Rica campus Alajuela,https://www.cphof.org/university/Instituto%20Tecnol%C3%B3gico%20de%20Costa%20Rica%20campus%20Alajuela,1
CRI,Tecnológico de Costa Rica,https://www.cphof.org/university/Tecnol%C3%B3gico%20de%20Costa%20Rica,1

Country,Total Teams
ARG,72
BRA,127
MEX,84
CUB,26
VEN,15
COL,40
CHL,9
PER,16
BOL,5
DOM,3
SLV,0
CRI,6
ECU,0
