@contest "SanSi Cup 2024"
@s 28,D,1,1208,OK
@s 31,D,1,1208,OK
@s 15,D,1,1232,OK
@s 30,D,1,1238,OK
@s 23,D,1,1241,OK
@s 16,D,1,1245,OK
@s 43,D,1,1247,RJ
@s 18,D,1,1255,RJ
@s 17,D,1,1260,RJ
@s 6,D,1,1283,RJ
@s 49,G,1,1291,RJ
@s 22,G,1,1300,OK
@s 18,D,1,1303,RJ
@s 38,D,1,1344,RJ
@s 14,G,1,1351,OK
@s 22,D,1,1352,OK
@s 17,D,1,1353,RJ
@s 42,D,1,1357,RJ
@s 20,B,1,1447,RJ
@s 44,D,1,1447,RJ
@s 25,D,1,1460,OK
@s 47,D,1,1464,RJ
@s 50,D,1,1469,RJ
@s 9,G,1,1474,OK
@s 1,D,1,1482,RJ
@s 3,B,1,1484,RJ
@s 6,D,1,1494,OK
@s 5,F,1,1510,RJ
@s 51,D,1,1521,RJ
@s 1,D,1,1525,OK
@s 42,D,1,1539,RJ
@s 21,D,1,1540,OK
@s 20,D,1,1542,OK
@s 12,D,1,1550,OK
@s 25,F,1,1552,OK
@s 12,G,1,1556,RJ
@s 44,D,1,1557,OK
@s 19,D,1,1570,RJ
@s 14,D,1,1571,OK
@s 51,D,1,1576,RJ
@s 46,D,1,1581,RJ
@s 12,G,1,1585,RJ
@s 50,D,1,1592,RJ
@s 19,D,1,1606,RJ
@s 14,G,1,1606,OK
@s 36,D,1,1636,RJ
@s 29,D,1,1643,OK
@s 52,G,1,1645,RJ
@s 19,D,1,1646,OK
@s 52,D,1,1657,OK
@s 36,D,1,1678,OK
@s 49,D,1,1689,RJ
@s 5,F,1,1691,RJ
@s 12,G,1,1708,RJ
@s 50,D,1,1738,RJ
@s 5,D,1,1740,OK
@s 47,D,1,1741,RJ
@s 3,D,1,1782,OK
@s 46,D,1,1788,OK
@s 32,D,1,1790,OK
@s 17,D,1,1798,OK
@s 8,D,1,1808,OK
@s 33,D,1,1810,RJ
@s 41,G,1,1830,OK
@s 24,D,1,1851,OK
@s 49,D,1,1861,RJ
@s 34,G,1,1904,RJ
@s 27,D,1,1926,RJ
@s 40,D,1,1927,OK
@s 49,G,1,1973,RJ
@s 33,D,1,1993,OK
@s 34,D,1,1994,OK
@s 53,D,1,1998,RJ
@s 50,D,1,2008,OK
@s 31,G,1,2029,OK
@s 1,G,1,2051,OK
@s 47,D,1,2060,RJ
@s 22,G,1,2078,OK
@s 35,B,1,2084,RJ
@s 22,D,1,2090,OK
@s 34,G,1,2119,RJ
@s 35,D,1,2128,OK
@s 10,C,1,2141,RJ
@s 11,D,1,2164,RJ
@s 38,G,1,2165,RJ
@s 3,B,1,2170,RJ
@s 49,D,1,2191,RJ
@s 13,C,1,2209,RJ
@s 53,D,1,2287,RJ
@s 49,D,1,2298,RJ
@s 52,G,1,2310,OK
@s 10,C,1,2318,RJ
@s 7,D,1,2333,RJ
@s 12,G,1,2352,RJ
@s 7,D,1,2380,RJ
@s 47,D,1,2436,RJ
@s 51,D,1,2476,RJ
@s 34,G,1,2521,RJ
@s 42,D,1,2543,RJ
@s 7,D,1,2561,RJ
@s 34,G,1,2579,OK
@s 43,F,1,2585,RJ
@s 16,G,1,2624,OK
@s 24,F,1,2695,OK
@s 49,D,1,2735,RJ
@s 11,D,1,2746,OK
@s 53,D,1,2762,RJ
@s 51,D,1,2767,RJ
@s 30,G,1,2776,OK
@s 36,A,1,2787,RJ
@s 33,G,1,2790,RJ
@s 10,C,1,2791,RJ
@s 48,G,1,2802,RJ
@s 18,D,1,2835,OK
@s 18,B,1,2849,RJ
@s 51,D,1,2853,RJ
@s 23,A,1,2893,RJ
@s 51,D,1,2915,RJ
@s 51,D,1,3011,RJ
@s 48,G,1,3036,RJ
@s 23,A,1,3056,OK
@s 27,G,1,3058,RJ
@s 25,A,1,3074,RJ
@s 36,A,1,3075,RJ
@s 51,D,1,3083,OK
@s 25,A,1,3104,RJ
@s 42,D,1,3113,OK
@s 53,D,1,3133,RJ
@s 36,A,1,3190,RJ
@s 3,B,1,3214,RJ
@s 15,A,1,3255,RJ
@s 52,F,1,3257,RJ
@s 7,D,1,3267,OK
@s 27,D,1,3268,OK
@s 27,G,1,3328,RJ
@s 35,B,1,3443,RJ
@s 52,F,1,3456,OK
@s 7,D,1,3458,OK
@s 13,C,1,3463,RJ
@s 38,F,1,3497,RJ
@s 32,G,1,3504,OK
@s 22,F,1,3542,OK
@s 49,D,1,3545,RJ
@s 25,A,1,3547,RJ
@s 48,D,1,3571,RJ
@s 49,D,1,3600,RJ
@s 28,F,1,3605,RJ
@s 28,C,1,3637,RJ
@s 48,D,1,3648,OK
@s 49,D,1,3653,RJ
@s 38,F,1,3659,RJ
@s 37,F,1,3660,RJ
@s 25,A,1,3663,RJ
@s 25,A,1,3714,RJ
